title,abstract,year,Topic_ID,Dimension,Objective,Method,Result
{Overdelivery in a digital service implementation on a tax recovery program},"This paper presents a case of a digital public service implementation for a tax credit recovery program and discusses its impacts and enhancements for the digital government context. An amnesty government program put in place demanded an agile digital service implementation to respond properly to citizens and society to reduce the face-to-face service of thousands of citizens and the burden on the public service infrastructure in place. The technical challenges found were overcome by adopting digital government good practices, such as the concepts of Government as a Platform (GaaS) and the use of microservices (APIs) on legacy systems. With the implementation of the digital service, a good part of taxpayers solved their demands online. Another part of the citizens that required assistance due to their digital illiteracy on the use of digital public services came in person to the tax office. Since the service could be accessed through mobile phones and the citizens were smartphone users, it was recognized as an unexpected opportunity to provide personalized on-site training to citizens on their own devices. This initiative helped reduce digital illiteracy and made it possible to build citizen capacity together with the provision of the digital service. The digital service implementation team recognized the importance of mobile responsive services in terms of providing the opportunity to offer personalized on-site training to citizens when needed. This represents a digital transformation in the form of providing citizens with training to access digital public services.",2023,1.0,Public service delivery,,,
"{Of algorithms, Apps and advice: digital social policy and service delivery}","Governments across the world have been developing and adopting new digital technologies for about a half of a century to support policy making and service delivery processes. Yet, until recently minimal critical attention has been given to this phenomenon and how it is transforming government. This paper reviews recent research on new and emerging technologies and the associated transformations they have for government policy and service delivery and the consequences for citizens and service users. The paper focuses on three key uses of digital technologies: automation, apps and advice. With the use of these examples, the paper demonstrates that visions of digital government of greater efficiency, improved quality of service delivery and open and accountable government are often not achieved. The paper concludes by acknowledging the ongoing importance of digital technologies in government, but also a need for a critical awareness of the power context of the adoption of technologies, of how policy and administrative principles may be undermined, and how populations may be increasingly segmented, fragmented and controlled.",2019,3.0,Departmental responsibilities and administrative power,"The paper focuses on three key uses of digital technologies: automation, apps and advice.",,"With the use of these examples, the paper demonstrates that visions of digital government of greater efficiency, improved quality of service delivery and open and accountable government are often not achieved."
{A case study of indonesian government digital transformation: Improving public service quality through E-government implementation},"The government in carrying out its function as a public administration servant is regulated in law of the Republic of Indonesia number 25/2009 on public services. Traditional government was identical with ineffective and inefficient bureaucracies, low transparency, and corruption issues which lead to proliferation of maladministration. E-government is required to improve the quality of public service by leveraging on efficiency, collaboration, and transparency. Indonesia e-government was still on early stage of adoption according E-government Development Index (EGDI) rank. However growing number of e-government applications is identified across the nation on multilevel governmental structures. This paper described and analyzed digital transformation in Indonesia public sector through e-government implementation and its impact on value added, agility and control, accountability and collaboration within the context of public service improvement. This paper used literature research methodology to identify and analyzed various e-government implementation. The results showed that the implementation of e-government that have been carried out so far had positive effects on public services. Some e-government applications covering Government to Citizen (G2C), Government to Business (G2B), and Government to Government (G2G) are presented as results of the transformation.",2019,9.0,Government operating logic and processes,,,"E-government is required to improve the quality of public service by leveraging on efficiency, collaboration, and transparency."
{The Impact of Electronic Identity Cards and the Digitalization of Certificates on Public Service Effectiveness: A Literature Review},"This study presents a systematic literature review and mapping of 21 selected academic publications from 2015 to 2025, focusing on the digitalization of public services through the implementation of electronic identity cards (e-KTP) and digital certificates. The objective was to explore how digital transformation affects the effectiveness of public administration, particularly in service delivery, transparency, and civil servant (ASN) performance. The findings highlight five key thematic areas: (1) the widespread adoption of digitalization in public services; (2) significant improvements in service efficiency and transparency; (3) multidimensional challenges to implementation, including infrastructural limitations, low digital literacy, and institutional resistance; (4) the essential role of e-governance and community e-readiness in enabling participatory and accountable systems; and (5) the positive, yet conditional, impact on ASN performance. A bibliometric analysis using VOS viewer revealed three dominant research clusters: technology-driven transformation, governance reform and public participation, and civil service capacity building. This study contributes to identifying emerging gaps, particularly in areas such as digital inclusion, ethical governance, and algorithmic oversight, and proposes strategic recommendations for future policy design and research. The results underscore the importance of an integrated, inclusive, and ethically grounded approach to digital public service innovation.",2025,4.0,Leadership,,"The results underscore the importance of an integrated, inclusive, and ethically grounded approach to digital public service innovation.",
"{Digital government transformation and internet portals: The co-evolution of technology, organizations, and institutions}","Researchers and practitioners around the world recognize the potential of information technologies to promote government transformation. This transformation has been understood in at least two different ways: (1) as a transformation of internal processes and (2) as a transformation of the relationships between governments and other social and political actors (institutional transformation). Unfortunately, there is little or no evidence of such transformation, and current studies reveal that for this transformation to happen, a better understanding of the complex relationships between information technologies, organizations, and institutions is still required. This paper presents a theory of the co-evolution of technology, organizational networks, and institutional arrangements in the transformation of government. The theory uses the grammars of system dynamics and builds upon institutional approaches to understand interactions among all these variables in the development of information and communication technologies in government. Although the theory suggests the relevance of some specific reinforcing processes in this transformation, the endogenous view used in the theory empowers all stakeholders by illustrating how transformation could be promoted from any individual position involved in the process of developing digital government applications.",2014,6.0,Government organizational structure,,,
{Citizen-oriented digital transformation in the public sector},"Digital transformation has emerged as a term that describes the departure from digitization efforts to a full stack revision of the policies, processes and services in order to create simpler user experiences for citizens and frontline workers. While previous waves of digitization focused on the transition from analog to (parallel) digital services to increase efficiency and effectiveness of government services, digital transformation aims to redesign and reengineer government services from the ground up to fulfill changing user needs. At the center of these efforts are users-both internal and external users-of digital services who are included in the digital transformation efforts. This panel therefore brings together four aspects of digital transformation: a) dynamic capabilities as a precondition for digital transformation; b) co-design of digital services with users; c) digital co-production and co-creation to increase legitimacy of digital services; and d) co-creation with open data to improve digital service delivery.",2018,1.0,Public service delivery,"While previous waves of digitization focused on the transition from analog to (parallel) digital services to increase efficiency and effectiveness of government services, digital transformation aims to redesign and reengineer government services from the ground up to fulfill changing user needs.",,This panel therefore brings together four aspects of digital transformation: a) dynamic capabilities as a precondition for digital transformation; b) co-design of digital services with users; c) digital co-production and co-creation to increase legitimacy of digital services; and d) co-creation with open data to improve digital service delivery.
{Unlocking Institutional Capacity for Sustainable E-Government Transformation},"This paper examines systemic factors influencing digital transformation in the public sector, with a focus on bureaucratic structures, regulatory environments, and human resource capabilities. The study aims to explore how strategic alignment and collaborative leadership shape the success of digital initiatives. Utilizing a narrative review approach, the analysis synthesizes evidence from global case studies and recent empirical research. The findings indicate that while technological adoption improves operational efficiency, systemic constraints often hinder transformative outcomes. Leadership vision, stakeholder prioritization, and inclusive strategies are identified as pivotal in addressing challenges such as legacy system integration, uneven infrastructure, and resistance to change. The discussion highlights significant disparities between central and local agencies, underscoring the need for adaptive policy frameworks, standardized digital maturity models, and strengthened cross-sector collaboration.This study emphasizes the necessity of holistic digital strategies that merge technological innovation with institutional reform. The implications suggest that targeted policy measures—such as interoperable system development, capacity-building programs, and GovTech ecosystem support—are crucial for long-term digital governance success. Future research should delve into context-specific digital readiness and performance frameworks to bridge current knowledge gaps and support inclusive digital transformation pathways.",2024,7.0,Leadership,"This paper examines systemic factors influencing digital transformation in the public sector, with a focus on bureaucratic structures, regulatory environments, and human resource capabilities.","Utilizing a narrative review approach, the analysis synthesizes evidence from global case studies and recent empirical research.","The findings indicate that while technological adoption improves operational efficiency, systemic constraints often hinder transformative outcomes."
{E-governance & Digital Government in Canada},"Examines role of e-governance including e-government, e-democracy, ebusiness. Part of service for Commonwealth countries",2005,4.0,Leadership,,,
{Examining the Collaboration Framework for Achieving Government Performance: A Qualitative Case Study on Digital Transformation.},"Government organizations must embrace collaboration to enhance public value and address inefficiencies caused by fragmented processes and duplicated efforts. This study develops a collaboration framework based on collaborative governance theory and digital transformation capability. Using qualitative methods, 15 in-depth interviews with government employees, 22 official documents, and one focus group video were analyzed through thematic coding. This study highlights several approaches to collaborative digital government transformation. First, it emphasizes breaking organisational silos and leveraging shared goals by reviewing the digital transformation plans to identify common projects, reduce duplication and address IT resources imbalance. Second, it advocates neutrality in leadership to harmonize inter-agency regulations. Third, it promotes agile organizational structures and dynamic capabilities to enhance adaptability and the ability to respond to rapid changes. Fourth, it recommends ideally modelling collaborative government services using an integrated business model in a unified digital platform, alternatively using data exchange and information sharing. Finally, it stresses user-centric design and inclusiveness to accelerate service delivery, ensure accountability, and improve efficiency, effectiveness, and seamless government operations. This study extends digital transformation capability and introduces new modes of engagement through digital collaboration within the discussion on initial barriers and drivers, technological capabilities, dynamic capability, and co-creation.",2025,9.0,Government operating logic and processes,,This study develops a collaboration framework based on collaborative governance theory and digital transformation capability.,"Finally, it stresses user-centric design and inclusiveness to accelerate service delivery, ensure accountability, and improve efficiency, effectiveness, and seamless government operations."
{Public Service Delivery through e -Governance in Tamil Nadu},"e-Governance serves as a robust tool for enhancing public service delivery. By harnessing digital technology, it streamlines processes, enhances transparency, and increases accessibility, making government services more efficient and citizen-centric. Modern governments and administrations have adopted e-Governance as an essential tool for efficient and citizen-centric service delivery. This digital transformation enhances transparency, accessibility, and inclusivity in public services, facilitating faster and more effective interactions between citizens and government agencies. e-Governance also streamlines administrative processes, reducing bureaucratic hurdles and ensuring a seamless and responsive experience for citizens. The study focuses on the transformation of public service delivery through the implementation of e-Governance initiatives in the state of Tamil Nadu, India. e-Governance has emerged as a powerful tool for enhancing government services, improving efficiency, and increasing accessibility for citizens. In this context, the paper examines the key objectives and outcomes of e-Governance in Tamil Nadu, highlighting its impact on public service delivery. The study underscores the significance of digitalization in improving Government-citizen interactions and outlines the challenges and opportunities in this journey towards a more digitally inclusive state.",2025,1.0,Public service delivery,"The study focuses on the transformation of public service delivery through the implementation of e-Governance initiatives in the state of Tamil Nadu, India.",,
"{Unpacking the role of technology, leadership, governance and collaborative capacities in inter-agency collaborations}","Inter-agency collaboration is increasingly important for digital government. Using collaborative governance frameworks and comparative case study of three cases of digital government in the Mexican states of Mexico, Puebla, and Yucatan, we extend current understanding of key determinants of effective inter-agency collaborations in digital government settings. In particular, our research question is as follows: how do leadership, governance, technology, and collaborative capacity and competencies contribute to effective collaboration? Our results indicate that all four components are important, but in different ways. Laws and regulations appear to play an important role supporting governance of the inter-agency networks in our three cases. In addition, multi-level leadership, formal governance, implementation flexibility, the role of technology as a social actor in itself, and trust building based on expertise seem to be particularly salient.",2022,4.0,Leadership,,"Using collaborative governance frameworks and comparative case study of three cases of digital government in the Mexican states of Mexico, Puebla, and Yucatan, we extend current understanding of key determinants of effective inter-agency collaborations in digital government settings.",
{Analysis of the Success of Implementing Digital Service Delivery in the Indonesian Public Sector: A Case Study on the Use of Online Public Service Applications},"Digital service delivery in the public sector symbolizes a sea change in governance, with governments leveraging digital technology to improve service efficiency, transparency, and citizen involvement. This article looks at the key advantages of digital service delivery, such as increased efficiency, improved access and convenience, cost savings, user-centric services, data-driven decision-making, transparency, enhanced citizen engagement, innovative service delivery, lower environmental impact, and crisis response capabilities. It does, however, highlight some of the problems, such as bridging the digital gap and guaranteeing data security and privacy. As governments throughout the world embrace digital transformation, the necessity to offer services that meet citizens' changing expectations becomes clear. The conclusion emphasizes the importance of digital service delivery in modern governance, providing timely and accountable government services that match the needs of the digital era.",2023,1.0,Public service delivery,,,"Digital service delivery in the public sector symbolizes a sea change in governance, with governments leveraging digital technology to improve service efficiency, transparency, and citizen involvement."
{a Digital Transformation in Public Services: Challenges and Opportunities (Unlocking Efficiency and Engagement: Embracing Innovation in Government Operations)},"Objective: This study examines the integration of advanced digital technologies—namely artificial intelligence (AI), cloud computing, and the Internet of Things (IoT)—into public service delivery to enhance operational efficiency, cost-effectiveness, and citizen engagement. Method: Employing a qualitative case study approach, the research analyzes multiple government initiatives, including Worcestershire District Chambers' rapid application development and Germany's digitalization of 575 public services, to identify benefits and challenges of digital transformation in the public sector. Results: Findings reveal significant advantages such as streamlined service delivery via online portals and e-signatures, increased transparency through open data platforms, and improved interagency collaboration enabled by cloud-based tools. However, barriers including constrained budgets, legacy systems, regulatory complexities, and resistance to change remain substantial challenges. Novelty: This report contributes a comprehensive framework emphasizing a strategic, incremental implementation supported by effective change management and stakeholder engagement to overcome obstacles. It highlights the importance of aligning digital initiatives with public value principles, ethical data practices, and cross-sector collaboration to realize sustainable transformation in public services. The insights advance understanding of how governments can leverage emerging technologies to create more inclusive and efficient public administration.",2025,1.0,Public service delivery,,"Method: Employing a qualitative case study approach, the research analyzes multiple government initiatives, including Worcestershire District Chambers' rapid application development and Germany's digitalization of 575 public services, to identify benefits and challenges of digital transformation in the public sector.","Results: Findings reveal significant advantages such as streamlined service delivery via online portals and e-signatures, increased transparency through open data platforms, and improved interagency collaboration enabled by cloud-based tools."
"{Digital transformation, governance and coordination models: A comparative study of Australia, Denmark and the Republic of Korea}","Australia, Denmark and the Republic of Korea are among the most connected countries in the world, with high-speed infrastructure widely available and with high rates of internet use by businesses and individuals alike. The three countries are also among the front-runners when it comes to the utilisation of Information Communication Technology (ICT) in the public sector and have all showed significant achievements related to the digital transformation of public services production and delivery. Although many factors may account for their successes, what is the role played by their strategic approach to governance and inter-governmental cooperation models? How have governance and multi-stakeholder coordination and cooperation approach influences the success of the digital transformation and boost innovations in each of the three cases? The initial findings of this paper support academic that the digital transformation of the public sector largely depends on the focus, governance and intergovernmental coordination and cooperation. Specifically in guiding the use of ICT in building an efficient and user-oriented whole-of-government ecosystem for public service production and delivery. The analysis finds that a strong governance model with clear roles and responsibilities of all institutions complement with formal cross-sectoral bodies for decision-making and ensuring inter-governmental coordination and cooperation are essential for successful digital transformation. High levels of inclusiveness on across all levels of government, society and end-user groups is seen as a positive factor in all three countries. As a result, the success rate of the implementation of their respective ICT/Digital/eGovernment strategies is high, resulting with successful development of the ICT infrastructure, roll-out of key enablers, interoperability systems, technical and legal standards that allowed them as global leaders to move towards real user-centric, integrated service production and delivery. However, to verify the findings, this paper also identifies a set of ""leap-frogging"" countries for further research.",2020,10.0,Departmental responsibilities and administrative power,,"Although many factors may account for their successes, what is the role played by their strategic approach to governance and inter-governmental cooperation models?",
{Impact of Digital Capabilities and Technology Skills on Effectiveness of Government in Public Services},"The rapid integration of digital capabilities, innovations and IT skills has become an important practice of a nation in the overall development of the societies and economies. The introduction of digital public services, data capability, technology skills, artificial intelligence (AI) start-ups enhance improvement in the efficiency and effectiveness of the Government service delivery in the public sector. However, the new expectations of citizens' and businesses are posing a great challenge for the governments. Government need to organize themselves and ensure the use of right set of skills to use new digital tools, collaborate and interact with citizens, society, and businesses. Digital transformation of governments is required to serve digital societies and economies. To achieve the goal, governments need to use data capabilities and skills as strategic components of their efforts to modernise the services in the public sector. The study undertakes Governments' Artificial Intelligence Readiness index score of 100 countries from Oxford Insights and IDRC to examine the influence of various digital tools like digital capabilities, technology skills, innovation and data capabilities on effectiveness of government in public service delivery. The findings suggest that the improvement in digital public services, procurement of advanced technology, data and innovation capabilities of a nation can be significant in effectiveness of the Government in public services.",2020,1.0,Public service delivery,,,
"{Mastering digital transformation: The nexus between leadership, agility, and digital strategy}","Drawing upon new institutional theory, we developed and tested a model on how digital transformational leadership and organizational agility influence digital transformation with digital strategy as a moderator. We found that digital transformational leadership and organizational agility positively influence digital transformation, and digital transformational leadership influences organizational agility. The finding of our study also indicates organizational agility to mediate the relationship between digital transformational leadership and digital transformation. Our findings offer an advanced understanding of the impact of transformational leadership and organizational agility on digital transformation and the role of digital strategy. Our study's findings address critical questions about how leadership style and promoting organizational agility in the public sector can enhance digital transformation.",2022,2.0,Leadership,,,
{Exploring digital government transformation: A literature review},"This paper presents findings of the literature review on the recent developments of digital government transformation. It aims to inform the current debate about the dynamics and potential impacts of such transformation. The review covers the literature on the topic developed in the past decade, with a special focus on the conceptual transition from eGovernment towards Digital Government and the intervening factors that allowed the use of digital technologies to revolutionise public services, policymaking and public governance. The literature reviewed for this paper confirmed that the barriers and preconditions for a successful digital government transformation are complex and often not technology related. In fact, the introduction of new technologies by governments is always mediated by organisational, institutional, legal, ethical and social factors. Digital technologies may transform virtually every process, system and structure of government, resulting into redefinition of responsibilities and work routines of public officials. Nevertheless, they also create issues and trade-offs that merit careful consideration and preparation before a full-blown change is introduced. In conclusion, to enable to move from eGovernment to Digital Government transformation the application of new emerging technologies is the starting point but should not be considered in isolation from other intervening factors, from their possible combination, and from their specific characteristics.",2020,6.0,Government organizational structure,It aims to inform the current debate about the dynamics and potential impacts of such transformation.,,
{Transforming Leadership for the Digital Era: Embracing Collaboration and Technological Proficiency},"This review highlights a significant transformation in leadership paradigms prompted by the digital era. Traditional hierarchical structures are increasingly being replaced by decentralized and collaborative models, empowering employees to contribute valuable insights and data. Digital leadership is now characterized by collaboration, transparency, and shared decision-making, with leaders acting as facilitators of collective intelligence. Essential to this role is digital acumen, which encompasses a deep understanding of digital technologies and their strategic implications, including competence in cybersecurity, risk management, and staying abreast of technological trends. Innovation stands as a cornerstone of digital leadership, with leaders fostering environments that promote idea-sharing and risk-taking. By leveraging advanced technologies such as artificial intelligence (AI) and cloud computing, organizations can significantly enhance customer experiences and achieve operational excellence. This study underscores the challenges and opportunities presented by the shift towards a more agile, innovative, and resilient leadership landscape in the digital age.",2024,4.0,Leadership,,,
{Enhancing Governance Efficiency through Digital Transformation in Public Services: Lessons from Global Practices},"The digital transformation of public services has emerged as a crucial imperative for governments worldwide, driven by the need for enhanced governance efficiency, transparency, and citizen-centric service delivery. This study aims to investigate the impact of digital transformation initiatives on governance efficiency in public services by examining global best practices and lessons learned. Through a qualitative, multiple-case study approach, this research analyzes successful digital transformation strategies implemented by governments across various regions, encompassing both developed and developing nations. The methodological framework involves a comprehensive literature review to identify relevant case studies and best practices, complemented by semi-structured interviews with subject matter experts and stakeholders involved in digital transformation initiatives. Thematic analysis and cross-case synthesis techniques are employed to identify common themes, enablers, challenges, and contextual factors influencing the success of digital transformation efforts in the public sector. The findings of this study highlight the critical role of robust digital infrastructure, strong leadership and governance frameworks, citizen engagement and co-creation, data-driven decision-making, and capacity building in fostering effective digital transformation in public services. Key lessons learned underscore the importance of fostering a culture of innovation, adopting agile and iterative approaches, leveraging public-private partnerships, and addressing digital divide and inclusion challenges. By synthesizing global best practices and lessons learned, this research contributes to a comprehensive understanding of the strategies and enablers that can enhance governance efficiency through digital transformation in public services. The insights derived from this study provide valuable guidance for policymakers, public sector leaders, and practitioners seeking to navigate the complexities of digital transformation and unlock its potential for delivering efficient, transparent, and citizen-centric governance.",2024,4.0,Leadership,This study aims to investigate the impact of digital transformation initiatives on governance efficiency in public services by examining global best practices and lessons learned.,"Through a qualitative, multiple-case study approach, this research analyzes successful digital transformation strategies implemented by governments across various regions, encompassing both developed and developing nations.",
{Digital leadership in the public sector: a scoping review and outlook},"In an era characterized by rapidly changing technological landscapes, public sector organizations find themselves in a pressing need to initiate efficient digital transformation programs for digital government. Managing digital transformation initiatives has grown increasingly complex, as leaders are often confronted with a plethora of demands that can be conflicting and, at times, difficult to determine and prioritize, especially if any aspect of the capability to transform is missing. Consequently, it has become vital to gain a clear understanding of digital leadership for both practitioners and academics. In this article, we conducted a comprehensive scoping review of recent studies on digital leadership and the individuals who exemplify it–digital leaders. Our thematic analysis allowed us to categorize our findings into succinct conceptual areas including the definition of digital leadership, the theoretical underpinnings, competencies inherent to digital leadership capabilities, critical success factors, and the role of digital leadership within public sector organizations.",2024,4.0,Leadership,,,
{Digital Leadership: Its Influence on Driving Digital Policy Adoption in the Public Sector},"This study examines the pivotal role of digital leadership in driving government transformation. By leveraging advanced data analytics, governments can formulate more predictive policies and anticipate future challenges. Digital services enhance efficiency, accessibility, and transparency, fostering trust in government institutions. However, successful digital transformation hinges on effective leadership. Digital leaders possess the skills to navigate complex digital environments, cultivate digital mindsets, and identify opportunities. This research explores the competencies required for digital leadership, including data analytics, strategic thinking, and the ability to inspire and motivate teams. Furthermore, it investigates the impact of digital leadership on policy adoption, service delivery, and organizational culture. Through a comprehensive literature review, this study contributes to the understanding of how digital leadership can accelerate government modernization and improve public service delivery.",2024,4.0,Leadership,,,"Through a comprehensive literature review, this study contributes to the understanding of how digital leadership can accelerate government modernization and improve public service delivery."
